127.0.0.1 - - [29/Jun/2019:23:03:25 +0700] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:12 +0700] "GET /magic-frontend HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:12 +0700] "GET /magic-frontend/ HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:14 +0700] "GET /magic-frontend/imgs/3.PNG HTTP/1.1" 200 1545618
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:15 +0700] "GET /favicon.ico HTTP/1.1" 404 1005
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:22 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17537
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/b1.jpg HTTP/1.1" 200 132574
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/css/style.css HTTP/1.1" 200 11335
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/js/common.js HTTP/1.1" 200 132
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/jquery/modal.js HTTP/1.1" 200 888
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/1234.png HTTP/1.1" 200 33216
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/jquery/modal.css HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/danang.jpg HTTP/1.1" 200 195378
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/nhatrang.jpg HTTP/1.1" 200 86205
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/phuquoc.jpg HTTP/1.1" 200 23670
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/hanoi.jpg HTTP/1.1" 200 85433
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/hoian.jpg HTTP/1.1" 200 28672
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/hue.jpg HTTP/1.1" 200 15593
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/dalat.jpg HTTP/1.1" 200 30398
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/vungtau.jpg HTTP/1.1" 200 18604
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/cantho.jpg HTTP/1.1" 200 17402
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:23 +0700] "GET /magic-frontend/imgs/r_logo_1.png HTTP/1.1" 200 2993
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:04:24 +0700] "GET /magic-frontend/imgs/header.jpg HTTP/1.1" 200 444180
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:05 +0700] "GET /magic-frontend/search-line HTTP/1.1" 200 17613
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/jquery/modal.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/js/common.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/jquery/modal.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/b1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/1234.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/danang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/nhatrang.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/phuquoc.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/hanoi.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/dalat.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/hue.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/hoian.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/vungtau.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/cantho.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [29/Jun/2019:23:08:06 +0700] "GET /magic-frontend/imgs/header.jpg HTTP/1.1" 304 -
